sq_mt_built,n_rooms,n_bathrooms,floor,has_central_heating,has_ac,has_fitted_wardrobes,is_exterior,has_terrace,has_balcony,has_storage_room,District,Neighborhood,Avg_price_distr,Avg_price_neigh,has_sum,rent_price_area,Neigh_cluster,house_type_id_HouseType 2: Casa o chalet,rent_price
55,1.0,1,3,0,1,0,1,0,1,0, Arganzuela , Acacias ,1094,1044,3,16.363636363636363,5,0,900.0
50,1.0,1,3,0,1,1,1,1,0,0, Tetuán , Ventilla-Almenara ,1190,1189,4,19.0,5,0,950.0
80,2.0,1,2,0,0,0,0,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,0,15.0,6,0,1200.0
125,2.0,2,8,0,1,1,1,1,0,1, Retiro , Adelfas ,1790,1494,7,12.0,5,0,1500.0
46,1.0,1,1,0,1,1,1,1,0,0, Arganzuela , Acacias ,1094,1044,5,19.565217391304348,5,0,900.0
40,1.0,1,1,0,0,1,1,0,1,0, Arganzuela , Acacias ,1094,1044,3,20.0,5,0,800.0
65,2.0,2,1,0,1,0,1,0,0,0, Ciudad Lineal , Concepción ,1263,1073,2,13.76923076923077,4,0,895.0
60,2.0,1,0,0,0,1,0,0,0,0, Barrio de Salamanca , Goya ,2079,1759,1,18.333333333333332,7,0,1100.0
53,1.0,1,2,0,0,0,1,0,1,0, Centro , Lavapiés-Embajadores ,1355,1106,1,17.92452830188679,6,0,950.0
37,1.0,1,7,0,1,0,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,1,22.972972972972972,7,0,850.0
54,2.0,1,5,0,1,1,1,0,0,0, Barrio de Salamanca , Guindalera ,2079,1349,2,24.074074074074073,6,0,1300.0
80,2.0,1,1,0,0,0,1,0,0,0, Barrio de Salamanca , Lista ,2079,1715,0,12.5,7,0,1000.0
40,1.0,1,6,0,1,1,0,0,0,0, Arganzuela , Delicias ,1094,1116,3,20.0,5,0,800.0
50,2.0,1,0,0,0,0,0,1,0,0, Barrio de Salamanca , Goya ,2079,1759,1,20.0,7,0,1000.0
75,3.0,1,0,0,0,0,0,0,0,0, Barrio de Salamanca , Goya ,2079,1759,0,25.333333333333332,7,0,1900.0
40,1.0,1,6,0,1,0,0,0,0,0, Barrio de Salamanca , Goya ,2079,1759,1,21.25,7,0,850.0
65,2.0,2,1,0,1,1,0,0,0,1, Barrio de Salamanca , Lista ,2079,1715,4,18.46153846153846,7,0,1200.0
90,0.0,1,5,0,1,1,1,1,0,0, Centro , Huertas-Cortes ,1355,1450,4,27.77777777777778,7,0,2500.0
60,1.0,1,4,0,1,0,1,0,0,0, Centro , Huertas-Cortes ,1355,1450,1,14.666666666666666,7,0,880.0
88,2.0,2,2,0,0,0,1,0,1,1, Centro , Huertas-Cortes ,1355,1450,2,15.340909090909092,7,0,1350.0
70,2.0,1,0,1,0,1,1,0,0,1, Chamartín , Nueva España ,1950,2310,4,15.714285714285714,6,0,1100.0
85,2.0,2,2,0,1,1,1,0,0,1, Arganzuela , Imperial ,1094,1092,7,15.294117647058824,5,0,1300.0
93,2.0,2,3,0,1,1,1,0,0,0, Barrio de Salamanca , Lista ,2079,1715,3,19.892473118279568,7,0,1850.0
90,2.0,2,2,0,1,1,1,1,0,0, Ciudad Lineal , Concepción ,1263,1073,6,16.666666666666668,4,0,1500.0
60,1.0,1,3,0,1,1,1,0,0,0, Ciudad Lineal , Concepción ,1263,1073,5,15.833333333333334,4,0,950.0
75,2.0,1,5,0,1,1,1,0,0,0, Barrio de Salamanca , Lista ,2079,1715,3,22.666666666666668,7,0,1700.0
98,3.0,2,3,0,0,0,1,0,0,1, Ciudad Lineal , Concepción ,1263,1073,2,12.755102040816327,4,0,1250.0
60,1.0,1,6,1,1,0,1,1,0,0, Barrio de Salamanca , Lista ,2079,1715,3,25.0,7,0,1500.0
60,2.0,2,1,0,0,0,1,0,0,0, Ciudad Lineal , Concepción ,1263,1073,0,13.333333333333334,4,0,800.0
86,2.0,2,2,0,1,1,1,0,1,0, Moncloa , Argüelles ,2151,1727,3,19.186046511627907,6,0,1650.0
190,3.0,2,7,1,1,1,1,1,0,1, Barrio de Salamanca , Lista ,2079,1715,5,18.36842105263158,7,0,3490.0
80,2.0,2,5,0,1,1,1,0,0,0, Latina , Los Cármenes ,992,972,5,16.25,2,0,1300.0
80,3.0,2,5,1,1,1,1,0,0,0, Ciudad Lineal , Concepción ,1263,1073,3,16.25,4,0,1300.0
80,2.0,2,2,0,1,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,3,20.0,7,0,1600.0
35,1.0,1,3,0,1,1,0,0,0,0, Centro , Palacio ,1355,1370,3,24.285714285714285,6,0,850.0
26,1.0,1,0,0,0,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,1,26.153846153846153,7,0,680.0
70,2.0,2,2,0,1,1,1,0,1,0, Centro , Huertas-Cortes ,1355,1450,3,16.428571428571427,7,0,1150.0
40,1.0,1,0,0,0,1,1,0,0,0, Ciudad Lineal , Concepción ,1263,1073,3,19.375,4,0,775.0
50,2.0,1,1,0,1,0,0,0,0,1, Centro , Lavapiés-Embajadores ,1355,1106,3,26.0,6,0,1300.0
60,2.0,1,2,0,0,0,0,0,0,1, Barrio de Salamanca , Lista ,2079,1715,2,21.666666666666668,7,0,1300.0
55,1.0,1,4,1,1,1,1,0,0,0, Chamartín , Bernabéu-Hispanoamérica ,1950,1875,3,14.545454545454545,6,0,800.0
80,3.0,1,5,0,1,1,1,0,0,0, Latina , Los Cármenes ,992,972,3,13.75,2,0,1100.0
65,1.0,1,5,0,1,1,1,0,1,0, Barrio de Salamanca , Guindalera ,2079,1349,3,18.46153846153846,6,0,1200.0
60,2.0,2,6,0,1,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,2,29.166666666666668,7,0,1750.0
40,1.0,1,0,0,0,0,0,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,1,21.25,6,0,850.0
100,3.0,1,0,0,0,1,1,1,0,0, Latina , Los Cármenes ,992,972,6,13.5,2,0,1350.0
75,3.0,1,1,0,1,1,1,0,0,0, Ciudad Lineal , Concepción ,1263,1073,3,14.666666666666666,4,0,1100.0
62,1.0,1,2,0,1,1,1,0,0,0, Latina , Los Cármenes ,992,972,2,13.225806451612904,2,0,820.0
60,2.0,1,1,1,1,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,3,19.983333333333334,7,0,1199.0
140,4.0,3,1,1,0,1,1,0,0,0, Barrio de Salamanca , Lista ,2079,1715,2,21.428571428571427,7,0,3000.0
160,3.0,3,3,1,1,1,1,0,1,0, Barrio de Salamanca , Guindalera ,2079,1349,4,16.25,6,0,2600.0
95,2.0,1,3,0,1,1,1,0,0,1, Ciudad Lineal , Concepción ,1263,1073,5,14.210526315789474,4,0,1350.0
58,2.0,1,1,0,1,1,1,0,1,0, Centro , Palacio ,1355,1370,4,25.862068965517242,6,0,1500.0
100,3.0,3,2,0,1,1,1,0,0,0, Barrio de Salamanca , Lista ,2079,1715,2,14.0,7,0,1400.0
90,4.0,1,1,0,0,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,3,20.0,7,0,1800.0
45,1.0,1,1,1,1,1,1,0,0,0, Barrio de Salamanca , Lista ,2079,1715,3,22.22222222222222,7,0,1000.0
58,2.0,1,3,0,0,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,3,21.551724137931036,7,0,1250.0
30,1.0,1,0,0,1,1,0,0,0,0, Centro , Palacio ,1355,1370,3,23.333333333333332,6,0,700.0
85,3.0,1,2,0,0,0,1,1,0,0, Ciudad Lineal , Concepción ,1263,1073,1,12.941176470588236,4,0,1100.0
45,1.0,1,0,0,0,1,1,0,0,0, Latina , Los Cármenes ,992,972,2,18.88888888888889,2,0,850.0
107,2.0,2,1,0,1,0,1,0,1,0, Centro , Chueca-Justicia ,1355,1709,3,16.822429906542055,8,0,1800.0
83,3.0,1,1,0,1,1,1,1,0,0, Latina , Los Cármenes ,992,972,4,9.036144578313253,2,0,750.0
35,1.0,1,5,0,0,0,0,0,0,1, Centro , Lavapiés-Embajadores ,1355,1106,2,21.428571428571427,6,0,750.0
60,2.0,1,4,0,1,1,1,0,0,0, Centro , Palacio ,1355,1370,3,19.583333333333332,6,0,1175.0
42,2.0,1,6,0,1,0,0,0,0,1, Barrio de Salamanca , Lista ,2079,1715,3,22.61904761904762,7,0,950.0
70,2.0,1,6,1,1,0,1,0,0,0, Barrio de Salamanca , Lista ,2079,1715,2,18.571428571428573,7,0,1300.0
55,1.0,1,2,0,0,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,1,16.363636363636363,7,0,900.0
110,3.0,2,2,0,0,1,1,1,0,0, Ciudad Lineal , Concepción ,1263,1073,3,13.636363636363637,4,0,1500.0
58,2.0,1,0,0,1,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,3,16.551724137931036,7,0,960.0
50,2.0,1,6,0,0,0,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,0,24.0,7,0,1200.0
79,2.0,1,3,0,1,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,2,15.189873417721518,7,0,1200.0
70,1.0,1,3,0,1,1,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,2,12.857142857142858,6,0,900.0
110,3.0,2,1,0,1,1,1,0,0,0, Barrio de Salamanca , Lista ,2079,1715,4,18.181818181818183,7,0,2000.0
45,1.0,1,4,1,0,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,2,22.11111111111111,7,0,995.0
60,2.0,1,4,0,0,0,0,0,0,1, Centro , Palacio ,1355,1370,2,27.083333333333332,6,0,1625.0
65,2.0,1,1,0,1,1,1,1,1,0, Ciudad Lineal , Concepción ,1263,1073,6,13.846153846153847,4,0,900.0
72,1.0,1,0,1,1,1,1,1,0,0, Chamartín , Nueva España ,1950,2310,6,15.277777777777779,6,0,1100.0
151,3.0,2,2,1,1,1,1,0,1,1, Barrio de Salamanca , Lista ,2079,1715,5,15.562913907284768,7,0,2350.0
50,2.0,1,1,0,0,0,1,1,0,0, Ciudad Lineal , Concepción ,1263,1073,3,16.0,4,0,800.0
52,1.0,1,2,1,0,1,1,0,0,0, Ciudad Lineal , Concepción ,1263,1073,2,15.865384615384615,4,0,825.0
74,2.0,1,0,0,0,1,1,1,1,0, Centro , Lavapiés-Embajadores ,1355,1106,4,17.22972972972973,6,0,1275.0
110,3.0,2,5,0,1,1,1,0,0,0, Latina , Los Cármenes ,992,972,5,13.636363636363637,2,0,1500.0
50,2.0,1,1,0,0,0,0,0,0,0, Ciudad Lineal , Concepción ,1263,1073,1,16.0,4,0,800.0
75,2.0,1,1,0,1,1,1,0,1,0, Barrio de Salamanca , Guindalera ,2079,1349,4,18.666666666666668,6,0,1400.0
120,2.0,2,4,0,1,1,1,1,1,1, Barrio de Salamanca , Guindalera ,2079,1349,5,11.666666666666666,6,0,1400.0
65,1.0,1,5,0,1,1,1,0,0,0, Barrio de Salamanca , Lista ,2079,1715,3,10.0,7,0,650.0
48,2.0,1,1,0,0,1,0,0,0,0, Barrio de Salamanca , Lista ,2079,1715,1,19.791666666666668,7,0,950.0
75,1.0,1,3,0,1,1,1,1,0,0, Barrio de Salamanca , Lista ,2079,1715,4,21.333333333333332,7,0,1600.0
50,1.0,1,4,0,1,1,1,0,0,0, Centro , Lavapiés-Embajadores ,1355,1106,3,12.9,6,0,645.0
39,1.0,1,2,0,0,1,0,0,0,0, Barrio de Salamanca , Goya ,2079,1759,1,20.512820512820515,7,0,800.0
111,4.0,2,2,1,0,0,0,0,1,0, Barrio de Salamanca , Goya ,2079,1759,2,19.81981981981982,7,0,2200.0
47,1.0,1,0,0,0,0,1,0,0,0, Centro , Palacio ,1355,1370,0,17.02127659574468,6,0,800.0
48,1.0,1,2,0,0,1,1,0,1,0, Centro , Palacio ,1355,1370,3,20.833333333333332,6,0,1000.0
65,1.0,1,3,0,1,1,1,0,0,0, Barrio de Salamanca , Goya ,2079,1759,3,20.0,7,0,1300.0
